Address,Weekly Rent,Bedrooms,Bathrooms,Parking,Property Type,Listing Agent,Agency,URL,Scraped At
"28 Cabello Place, Unsworth Heights, North Shore City, Auckland",760,3,1,4,Unit,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/unsworth-heights/listing/5445621195?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:40:56.086279
"L14/8 Airedale street, City Centre, Auckland City, Auckland",480,0,1,0,Apartment,Rental,ST International,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5446407012?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:40:59.665539
"1/168 Luckens Road, West Harbour, Waitakere City, Auckland",530,1,1,1,Other,Daniel,Ezystayz Limited,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/west-harbour/listing/5445683734?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:41:02.336160
"2/41C Roberta Avenue, Glendowie, Auckland City, Auckland",620,2,1,2,Unit,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/glendowie/listing/5445819711?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:41:05.751490
"2/32 Frederick St, Waltham, Christchurch City, Canterbury",510,2,2,1,Townhouse,Jo Simpson,Opes Property Management South Limited,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/waltham/listing/5446476236?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:41:09.063820
"13a Marellen Drive, Red Beach, Rodney, Auckland",870,5,4,5,Flat,Josh Sanford,Brolly Property Management Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/rodney/red-beach/listing/5446423232?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:41:10.907244
"1/5 Ford Street (Room B), Hamilton East, Hamilton, Waikato",265,1,1,0,Studio,Melita Bargh,"Manor Realty Ltd, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/waikato/hamilton/hamilton-east/listing/5445521928?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:41:12.494461
"227/8 Upper Queen Street, City Centre, Auckland City, Auckland",420,0,1,0,Unit,Phil Horrobin,MTM Property Management Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5445768545?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:41:16.443955
"1211/11 Liverpool Street, City Centre, Auckland City, Auckland",380,0,1,0,Studio,Darnae Brown,"One Place Limited, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5446072818?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:41:18.382168
"437C Jackson Street, Petone, Lower Hutt, Wellington",640,2,1,1,Townhouse,Letting Team,Manage My Rentals Limited,https://www.trademe.co.nz/a/property/residential/rent/wellington/lower-hutt/petone/listing/5445387600?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:41:19.524799
"4/1214 New North Road, Mount Albert, Auckland City, Auckland",570,2,1,1,Unit,Anna Dong,iHome Property Management,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-albert/listing/5446041490?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:41:25.525376
"1 Mozeley Avenue, Devonport, North Shore City, Auckland",1750,5,4,3,Unit,Jonathan Lyons,Vic Road Rentals,https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/devonport/listing/5445626312?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:41:25.988836
"1/2 Swan Hill Drive, Glen Eden, Waitakere City, Auckland",620,3,1,1,Townhouse,Gibson Li,Buy West Property Management Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/glen-eden/listing/5431638465?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:41:26.937074
"1/7 Monterey Avenue, Otahuhu, Auckland City, Auckland",550,2,1,0,Unit,Andrew Lim,"Barfoot & Thompson Otahuhu Rentals, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/otahuhu/listing/5445391205?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:41:33.551344
